seed,gss_vs_orgPrb,gss_vs_orgPrb_rtol,gss_vs_ana,gss_vs_ana_rtol,gss_vs_ana_rtol2,ana_vs_orgPrb,"diffNorms(GSS,OrgPrb)",sum(GSS.-OrgPrb),sum(GSS.-Ana),rmsq(GSS.-OrgPrb),rmsq(GSS.-Ana),norm(GSS-OrgPrb),norm(GSS-Ana),norm(Ana-OrigProb)
10,true,true,true,true,true,true,-2.618016026190162e-9,1.5858503648947088e-5,2.281130929936842e-5,1.0094713014122057e-8,1.6588045067136828e-8,6.460616329038115e-7,1.0616348842967566e-6,7.797080987857938e-11
4177,true,true,true,true,true,true,2.0961010704922955e-12,2.5980058571042214e-9,1.8319536954986481e-9,1.271389742791268e-12,9.071670939576891e-13,8.136894353864115e-11,5.80586940132921e-11,1.2081268582064754e-11
2512,true,true,true,true,true,true,-2.842170943040401e-14,4.4172903670373215e-11,2.8284874584920492e-11,1.478926066121625e-14,9.801477768824322e-15,9.4651268231784e-13,6.272945772047566e-13,2.7169917447590765e-12
845,true,true,true,true,true,true,-2.0189361293887487e-9,5.551415926340422e-6,1.6932264797724105e-5,2.4270786667764126e-9,6.181155791097105e-9,1.5533303467369054e-7,3.9559397063021434e-7,1.211985898571355e-10
1678,true,true,true,true,true,true,1.4637180356658064e-12,2.8742037661168675e-8,1.1242881059892861e-8,1.24732709035806e-11,5.444945130572069e-12,7.982893378291584e-10,3.484764883566124e-10,2.591954566387198e-12
11,true,true,true,true,true,true,1.9895196601282805e-13,9.237724590127746e-10,2.2778168430647242e-7,4.297583276566546e-13,9.106739001787621e-11,2.7504532970025894e-11,5.828312961144077e-9,1.2987524948587432e-10
846,true,true,true,true,true,true,1.4210854715202004e-13,2.5331368773418017e-10,5.7354950460221724e-11,9.1579801836553e-14,1.8761879924676152e-14,5.861107317539392e-12,1.2007603151792738e-12,1.9445483992036207e-12
3344,true,true,true,true,true,true,2.906112683831452e-9,9.101592975051758e-6,7.095605372537533e-5,4.387542457559152e-9,3.7944115805460814e-8,2.8080271728378593e-7,2.4284234115494904e-6,4.632828653008116e-9
2513,true,true,true,true,true,true,-1.9035439891013084e-10,2.2917157694701384e-7,2.116045716187622e-7,1.5318926043375953e-10,1.351538125187117e-10,9.804112667760607e-9,8.649844001197547e-9,9.519328124406902e-11
4178,true,true,true,true,true,true,1.27613475342514e-11,1.3711060994930262e-8,9.482202882040922e-9,5.29558474566348e-12,3.5410540100184097e-12,3.389174237224627e-10,2.2662745664117822e-10,2.4294483582260864e-11
1679,true,true,true,true,true,true,6.821210263296962e-13,4.0735389898478164e-10,3.132645150024532e-11,2.566658102324459e-13,1.9308269997899782e-14,1.642661185487654e-11,1.2357292798655858e-12,8.417821947532322e-13
12,true,true,true,true,true,true,-1.3876899629394757e-11,4.0240073724131056e-8,0.0010127017706934305,1.3927097218920692e-11,4.993869233544543e-7,8.913342220109242e-10,3.1960763094685056e-5,3.051187837393493e-8
2514,true,true,true,true,true,true,2.842170943040401e-14,2.8081270519143765e-11,5.8159001025499465e-11,9.303801886495382e-15,2.5131659005451354e-14,5.954433207357044e-13,1.6084261763488867e-12,2.302055176759507e-12
847,true,true,true,true,true,true,-9.606537787476555e-12,6.266581707538364e-8,3.924923109038109e-5,2.342915647110183e-11,1.6091647391429955e-8,1.499466014150517e-9,1.0298654330515171e-6,2.6375734731602187e-9
1680,false,false,false,false,false,true,-0.00013167578011064052,0.40919012597850934,0.4891936966346809,0.00018089732280796158,0.00023993780517588237,0.01157742865970954,0.01535601953125647,1.2759649145587214e-10
3345,true,true,true,true,true,true,-2.8421709430404007e-13,2.4879717899870413e-9,4.513184092254721e-7,9.451544621897711e-13,1.5657521535707185e-10,6.048988558014535e-11,1.0020813782852598e-8,2.4459481388038765e-10
4179,false,false,false,false,true,true,-2.838476831357184e-7,0.004471659185685249,0.004948720780187454,3.864122183833607e-6,3.2668353865552424e-6,0.0002473038197653509,0.00020907746473953565,2.4799641523953445e-11
13,true,true,true,true,true,true,-1.1368683772161603e-13,5.358423217128889e-11,4.170510900194284e-10,1.8722360305846828e-14,1.3840466331909252e-13,1.198231059574197e-12,8.85789845242192e-12,8.793272304109593e-12
3346,true,true,true,true,true,true,3.268496584496461e-11,7.117122337437984e-8,0.0013822657224789037,2.4460651481501708e-11,6.448538794387863e-7,1.5654816948161091e-9,4.12706482840823e-5,1.1441517508950123e-8
1681,true,true,true,true,true,true,-5.03774799653911e-12,3.785673606841386e-9,4.349367535821935e-6,2.1776298471491384e-12,2.7784028978041274e-9,1.3936831021754488e-10,1.7781778545946402e-7,4.1581399961519456e-10
2515,true,true,true,true,true,true,-3.4726923558991984e-9,2.8367021198903155e-6,2.079211674692956e-6,1.2579241873043116e-9,1.2215359561190999e-9,8.050714798747592e-8,7.817830119162234e-8,2.5066724787147633e-11
848,true,true,true,true,true,true,-9.947598300641403e-14,8.378344695407275e-10,5.965581570399614e-10,4.1965256118100897e-13,2.4107075060847594e-13,2.6857763915584574e-11,1.542852803894246e-11,5.177324053511739e-12
2516,true,true,true,true,true,true,5.471179065352771e-13,2.6284243541033593e-9,3.6546476142536354e-7,1.0995264391006735e-12,1.5156550790342257e-10,7.03696921024431e-11,9.700192505819045e-9,3.9183080345888233e-10
3347,true,true,true,true,true,true,-4.730793534690747e-11,2.1539274564887968e-7,3.053077749688455e-7,1.2784632451342333e-10,1.6729502023102002e-10,8.182164768859086e-9,1.0706881294785281e-8,2.6773943434092168e-11
1682,true,true,true,true,true,true,3.165382622682955e-9,4.5186366645116785e-6,0.0032202125545313376,1.7980937835369757e-9,1.0654197255922197e-6,1.1507800214636647e-7,6.818686243790191e-5,3.5023908340186756e-8
4180,true,true,true,true,true,true,2.894040562750888e-10,5.118308923654047e-7,3.779766204227837e-7,2.6347914857734167e-10,1.678033867148513e-10,1.6862665508949844e-8,1.0739416749750478e-8,7.274609204636791e-11
849,true,true,true,true,true,true,-4.2589931581460405e-11,1.3052104115428562e-7,8.949658346596272e-8,1.301488554812283e-10,1.031580980864731e-10,8.329526750798604e-9,6.602118277534276e-9,1.034579376458935e-10
14,true,true,true,true,true,true,1.5205614545266144e-12,7.928737774974071e-9,8.459173127424446e-8,3.491512063665141e-12,4.266141458798612e-11,2.2345677207456903e-10,2.7303305336311117e-9,7.258955078767143e-11
15,false,true,true,true,true,true,6.619799819418404e-9,5.651646832154815e-5,0.00011938343308509972,2.3309556130252957e-8,5.042448866222213e-8,1.4918115923361899e-6,3.227167274382213e-6,9.432651669464634e-10
4181,true,true,true,true,true,true,8.306244581035571e-12,1.3278541790640377e-8,1.6886813294510094e-8,7.911084564077516e-12,7.061235240484664e-12,5.06309412100961e-10,4.519190553910185e-10,2.369987672558539e-11
1683,true,true,true,true,true,true,3.743849674719968e-11,1.407731325173253e-7,3.405146173483418e-7,8.474955633686254e-11,2.2336145899533725e-10,5.423971605559202e-9,1.4295133375701582e-8,3.4317417599279387e-12
850,false,false,false,true,true,true,1.5548952916333292e-6,0.003492106003852506,0.0025046612443842447,2.038644102511257e-6,1.773158664201598e-6,0.00013047322256072043,0.00011348215450890229,6.090763353742457e-11
3348,true,true,true,true,true,true,-5.471179065352771e-13,1.0601513058812288e-9,1.8143160308869456e-8,3.6627673221847306e-13,6.8183210906476745e-12,2.3441710861982276e-11,4.363725498014511e-10,3.8781897199683685e-11
2517,false,false,false,false,false,true,0.15810089710049624,134.3374323088297,353.75610386268517,0.06759425232851997,0.1822019920496356,4.326032149025277,11.66092749117668,6.553542618297007e-10
851,true,true,true,true,true,true,1.4210854715202004e-13,4.2959998611865474e-9,8.350022395308548e-9,1.8637891753349613e-12,2.9710703968049753e-12,1.1928250722143752e-10,1.9014850539551842e-10,3.472528813820583e-11
2518,false,false,true,true,true,true,-9.31052355213069e-8,0.000208938868850945,0.004553032243604106,1.6185098599448226e-7,3.3242484285832434e-6,1.0358463103646864e-5,0.0002127518994293276,1.683964159573761e-9
16,true,true,true,true,true,true,7.105427357601002e-14,6.306288970843107e-11,1.016919004624521e-9,2.046410506876904e-14,3.327362389892766e-13,1.3097027244012185e-12,2.1295119295313702e-11,5.313657709268137e-12
3349,true,true,true,true,true,true,-1.8260948309034575e-12,1.1751246563367545e-8,5.933434610915465e-6,4.44183175028291e-12,2.697077252438239e-9,2.842772320181062e-10,1.7261294415604726e-7,2.074472359380814e-9
1684,true,true,true,true,true,true,-6.744798497493321e-9,1.5098741888465818e-5,7.614693550155068e-6,7.003381140909842e-9,3.79304838522903e-9,4.4821639301823007e-7,2.4275509665465804e-7,2.7570201693120993e-12
4182,false,true,true,true,true,true,3.3566180945854285e-8,3.145343100266323e-5,0.0039377686198816975,4.603357928154977e-8,6.519898136718231e-6,2.9461490740191857e-6,0.00041727348074996676,1.9254414947803e-9
17,true,true,true,true,true,true,-2.7000623958883807e-13,2.479738153800387e-10,1.0291968996880077e-10,1.146936034202565e-13,4.4379496484813255e-14,7.340390618896416e-12,2.8402877750280483e-12,3.1685762926674733e-12
852,true,true,true,true,true,true,-1.9895196601282805e-13,4.782995118132911e-10,1.9697269146691856e-10,1.7155924000479816e-13,6.2171082698219e-14,1.0979791360307082e-11,3.978949292686016e-12,5.714703737808394e-12
1685,true,true,true,true,true,true,-2.944702259810583e-10,4.060500324273072e-7,3.8330826713772737e-7,2.074414359589075e-10,2.2290476609957641e-10,1.3276251901370073e-8,1.4265905030372876e-8,1.759278597807624e-11
2519,true,true,true,true,true,true,-3.552713678800501e-14,1.324131520169568e-10,4.834850895969788e-11,4.8667830875410037e-14,2.2095540174362027e-14,3.1147411760262423e-12,1.4141145711591697e-12,1.617132198309413e-12
4183,true,true,true,true,true,true,-4.6337333969859174e-10,3.815976780734506e-7,1.3628557912928434e-6,2.839295817439591e-10,9.824453248262846e-10,1.817149323161336e-8,6.28765007888822e-8,1.055698639556409e-10
